product_name,review,price,discount_price,date
Pantalla Hisense 65u6h 65'' Uled 4k Dolby Vision Android Tv,None,"26,299","12,099",2024/02/04
Zte Smartphone Blade A54 128gb 4gb Ram Gris,None,"2,499","1,699",2024/02/04
"Consola Lenovo Legion Go (8.8 , Amd) 16gb Windows 11 Home",None,"18,999","16,499",2024/02/04
adidas Lite Racer 3.0 Mujer Adultos,None,"1,299","1,052",2024/02/04
Samsung Galaxy M34 5G Dual SIM 128 GB azul marino 6 GB RAM,None,"6,499","4,149",2024/02/04
Xiaomi Pocophone Poco M5s Dual Sim 256 Gb Gris 8 Gb Ram,4.7,"4,545","2,727",2024/02/04
Asistente Virtual Amazon Echo Dot 5ta Generación Negro,4.8,784,715,2024/02/04
Kit Rotomartillo Gsb 18v-50 & Llave De Impacto Gdx 18v-200,None,"7,283","3,407",2024/02/04
2nlf® Cámara De Seguridad  Wifi Hd 1080p C/con Alarmaa Ip,4.6,"1,064",399,2024/02/04
Audífonos Inalámbricos Over-ear Crusher Evo Skullcandy Negro,None,"4,499","2,369",2024/02/04
12 Cajas De Zapatos Apilables Tenis Zapatera Practiksa,4.1,269,229,2024/02/04
Xiaomi Pocophone Poco M5s Dual Sim 256 Gb Azul 8 Gb Ram,None,"4,545","2,727",2024/02/04
Laptop Lenovo Ideapad 15.6 Ryzen 3 7320u 8gb 256gb ssd,None,"15,999","7,799",2024/02/04
Xbox Series X Mini Refrigerador 8 Latas Capacidad Con Luz,None,"2,941",999,2024/02/04
Consola Xbox Series S 512gb Color Blanco,4.8,"6,849","5,342",2024/02/04
Mesa Plegable 1.80 Mts Portatil Portafolio Eventos Jardin Color Blanco,None,859,839,2024/02/04
Bocina JBL Boombox 3 portátil con bluetooth waterproof black 100V/240V ,4.8,"6,628","6,219",2024/02/04
Celular Cubot P80 Dual Sim 256 Gb Global 8 Gb Ram 5200mah Android 13,4.5,"3,406","2,555",2024/02/04
Hidrolavadora Electrica Pistola Para Lavado  Autos Portatil,4.3,"1,164",547,2024/02/04
Zapatos De Seguridad Tenis Sport Industriale De Fibra Nieion,4.7,531,292,2024/02/04
Nintendo Switch Oled 64gb Edición Especial Mario Red Color Rojo,None,"6,305","5,079",2024/02/04
Mesa 120cm de exterior Vitasense Garden MESA-12 de plástico color blanco,None,925,666,2024/02/04
